Date,主题方向,标题草稿,关键词标签,目标人群,内容亮点,内容建议,笔记链接,发布状态
2025-07-02,数字型内容,nba 球星通过普拉提提升运动表现、预防运动（详细版）,瑜伽、普拉提、运动,新手妈妈,效果,结合个人经验，提供实用价值,,待写
2025-07-03,对比测评类,我的普拉提与其他运动的区别。,运动、瑜伽、分钟,健身初学者,对比,客观分析优缺点，给出明确建议,,待写
2025-07-04,疑问引导类,现在怎么好多男的也练普拉提了？（详细版）,运动、区别、普拉提,健身初学者,,结合个人经验，提供实用价值,,待写
2025-07-05,体验分享类,当老公第一次上普拉提……（详细版）,运动、分钟、区别,上班族、宝妈,,分享个人真实体验，包含前后对比,,待写
2025-07-06,数字型内容,分享：普拉提小班课,普拉提、区别、瑜伽,宝妈,,结合个人经验，提供实用价值,,待写
2025-07-07,对比测评类,普拉提器械🆚瑜伽的区别｜真实体验,区别、普拉提、运动,健身初学者、新手妈妈,对比,客观分析优缺点，给出明确建议,,待写
2025-07-08,疑问引导类,分享：每天20分钟跟普拉提大师JohnGarey学普拉提,普拉提、瑜伽、分钟,新手妈妈、上班族,数字,结合个人经验，提供实用价值,,待写
2025-07-09,体验分享类,我的当老公第一次上普拉提……,区别、运动、普拉提,健身初学者、宝妈,,分享个人真实体验，包含前后对比,,待写
2025-07-10,数字型内容,分享：你以为的普拉提vs现实中的普拉提,普拉提、分钟、区别,学生党、宝妈,对比,结合个人经验，提供实用价值,,待写
2025-07-11,对比测评类,分享：普拉提VS健身 俩硬汉的普拉提初体验,区别、瑜伽、运动,职场女性,体验、对比,客观分析优缺点，给出明确建议,,待写
2025-07-12,疑问引导类,普拉提并不适合正常人练习（直怼版）（详细版）,分钟、运动、瑜伽,学生党、上班族,练习方法,结合个人经验，提供实用价值,,待写
2025-07-13,体验分享类,我的普拉提和瑜伽的6️⃣大区别,分钟、运动、普拉提,学生党、职场女性,对比,分享个人真实体验，包含前后对比,,待写
2025-07-14,数字型内容,每天20分钟跟普拉提大师JohnGarey学普拉提（详细版）,瑜伽、运动、分钟,健身初学者、宝妈,数字,结合个人经验，提供实用价值,,待写
2025-07-15,对比测评类,分享：💥C罗也练普拉提？,普拉提、区别、分钟,健身初学者,,客观分析优缺点，给出明确建议,,待写
2025-07-16,疑问引导类,我的为什么越来越多男运动员选择普拉提？,瑜伽、运动、分钟,学生党,对比,结合个人经验，提供实用价值,,待写
